Ticker,Filing Fiscal Year,Filing Fiscal Period,Period Type,Start Date,End Date,Filing Date,Form,Metric,XBRL Tag,Value,Unit,Accession,Frame
AAPL,2009,FY,Instant,,2006-09-30,2009-10-27,10-K,Cash & Equivalents,CashAndCashEquivalentsAtCarryingValue,6392000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2006-09-30,2009-10-27,10-K,Stockholders Equity,StockholdersEquity,9984000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2007-09-29,2009-10-27,10-K,Cash & Equivalents,CashAndCashEquivalentsAtCarryingValue,9352000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,Cost of Revenue,CostOfGoodsAndServicesSold,15852000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,Gross Profit,GrossProfit,8154000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,Income Tax,IncomeTaxExpenseBenefit,1512000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,Net Income,NetIncomeLoss,3496000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,Operating Income,OperatingIncomeLoss,4409000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,R&D,ResearchAndDevelopmentExpense,782000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2006-10-01,2007-09-29,2009-10-27,10-K,SG&A,SellingGeneralAndAdministrativeExpense,2963000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2007-09-29,2009-10-27,10-K,Stockholders Equity,StockholdersEquity,14532000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2008-09-27,2009-10-27,10-K,Cash & Equivalents,CashAndCashEquivalentsAtCarryingValue,11875000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,Cost of Revenue,CostOfGoodsAndServicesSold,21334000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,Gross Profit,GrossProfit,11145000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,Income Tax,IncomeTaxExpenseBenefit,2061000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,Net Income,NetIncomeLoss,4834000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,Operating Income,OperatingIncomeLoss,6275000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,R&D,ResearchAndDevelopmentExpense,1109000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2007-09-30,2008-09-27,2009-10-27,10-K,SG&A,SellingGeneralAndAdministrativeExpense,3761000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2008-09-27,2009-10-27,10-K,Stockholders Equity,StockholdersEquity,21030000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2008-09-27,2009-10-27,10-K,Total Assets,Assets,39572000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2008-09-27,2009-10-27,10-K,Total Liabilities,Liabilities,18542000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2009-09-26,2009-10-27,10-K,Cash & Equivalents,CashAndCashEquivalentsAtCarryingValue,5263000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,Cost of Revenue,CostOfGoodsAndServicesSold,23397000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,Gross Profit,GrossProfit,13140000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,Income Tax,IncomeTaxExpenseBenefit,2280000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,Net Income,NetIncomeLoss,5704000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,Operating Income,OperatingIncomeLoss,7658000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,R&D,ResearchAndDevelopmentExpense,1333000000,USD,0001193125-09-214859,
AAPL,2009,FY,Annual,2008-09-28,2009-09-26,2009-10-27,10-K,SG&A,SellingGeneralAndAdministrativeExpense,4149000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2009-09-26,2009-10-27,10-K,Stockholders Equity,StockholdersEquity,27832000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2009-09-26,2009-10-27,10-K,Total Assets,Assets,53851000000,USD,0001193125-09-214859,
AAPL,2009,FY,Instant,,2009-09-26,2009-10-27,10-K,Total Liabilities,Liabilities,26019000000,USD,0001193125-09-214859,
AAPL,2009,Q3,Instant,,2007-09-29,2009-07-22,10-Q,Cash & Equivalents,CashAndCashEquivalentsAtCarryingValue,9352000000,USD,0001193125-09-153165,
AAPL,2009,Q3,Instant,,2008-06-28,2009-07-22,10-Q,Cash & Equivalents,CashAndCashEquivalentsAtCarryingValue,9373000000,USD,0001193125-09-153165,CY2008Q2I
